epoch,loss,output1_loss,output1_mae,output2_dice_coefficient,output2_loss,val_loss,val_output1_loss,val_output1_mae,val_output2_dice_coefficient,val_output2_loss
0,6.18371057510376,0.011508170515298843,0.011508173309266567,0.42959800362586975,0.42959800362586975,3.220536708831787,0.005642845761030912,0.005642842501401901,0.39911213517189026,0.39911213517189026
1,3.272946357727051,0.005736642051488161,0.005736625287681818,0.40462735295295715,0.40462735295295715,3.1172618865966797,0.005419540219008923,0.005419537890702486,0.4074922800064087,0.4074922800064087
2,2.8460659980773926,0.004913340322673321,0.004913347773253918,0.3893914818763733,0.3893914818763733,2.706040143966675,0.004640206228941679,0.004640205297619104,0.3859403729438782,0.3859403729438782
3,2.8019983768463135,0.004829864948987961,0.004829863552004099,0.3870663642883301,0.3870663642883301,2.582902193069458,0.004397096112370491,0.004397093318402767,0.3843556046485901,0.3843556046485901
4,2.5289499759674072,0.0043008956126868725,0.004300897940993309,0.37849706411361694,0.37849706411361694,2.4495294094085693,0.004150047432631254,0.004150043707340956,0.3745054304599762,0.3745054304599762
5,2.3836615085601807,0.004021352156996727,0.004021365661174059,0.372978150844574,0.372978150844574,2.3062901496887207,0.0038709857035428286,0.003870982676744461,0.37079787254333496,0.37079787254333496
6,2.3241770267486572,0.003909021150320768,0.003909028600901365,0.36966192722320557,0.36966192722320557,2.3683643341064453,0.004003782756626606,0.004003787878900766,0.36647191643714905,0.36647191643714905
7,2.305407762527466,0.003878170158714056,0.0038781599141657352,0.3663269281387329,0.3663269281387329,2.3000075817108154,0.00386817567050457,0.0038681793957948685,0.365917831659317,0.365917831659317
8,2.2675607204437256,0.0038102646358311176,0.003810267662629485,0.36242881417274475,0.36242881417274475,2.2568089962005615,0.003788065630942583,0.003788067027926445,0.3627782166004181,0.3627782166004181
9,2.2473578453063965,0.0037757321260869503,0.003775730263441801,0.3594880700111389,0.3594880700111389,2.2220804691314697,0.003718777559697628,0.003718780819326639,0.36269187927246094,0.36269187927246094
10,2.2210090160369873,0.003730667755007744,0.0037306705489754677,0.35567137598991394,0.35567137598991394,2.253798723220825,0.003791260300204158,0.003791262861341238,0.35817083716392517,0.35817083716392517
11,2.2005691528320312,0.003695888677611947,0.0036958777345716953,0.3526242673397064,0.3526242673397064,2.18208909034729,0.003650873899459839,0.0036508759949356318,0.3566519618034363,0.3566519618034363
12,2.1680331230163574,0.003638843074440956,0.003638842608779669,0.3486126959323883,0.3486126959323883,2.288463592529297,0.0038615332450717688,0.003861535806208849,0.35769644379615784,0.35769644379615784
13,2.1377484798431396,0.003586917882785201,0.0035869230050593615,0.34428921341896057,0.34428921341896057,2.208705186843872,0.003706752322614193,0.0037067518569529057,0.35533034801483154,0.35533034801483154
14,2.1016182899475098,0.0035235299728810787,0.0035235246177762747,0.3398527503013611,0.3398527503013611,2.290134906768799,0.0038601856213063,0.003860189113765955,0.36003974080085754,0.36003974080085754
15,2.071790933609009,0.003471588483080268,0.003471588948741555,0.33599504828453064,0.33599504828453064,2.26015043258667,0.003808618290349841,0.0038086166605353355,0.3558443486690521,0.3558443486690521
16,2.0398812294006348,0.003415667451918125,0.0034156660549342632,0.33205199241638184,0.33205199241638184,2.2849509716033936,0.003860940458253026,0.003860943717882037,0.3544822335243225,0.3544822335243225
17,2.007641315460205,0.0033592190593481064,0.0033592123072594404,0.32803529500961304,0.32803529500961304,2.5077173709869385,0.004300576634705067,0.004300577566027641,0.35742583870887756,0.35742583870887756
18,1.9863557815551758,0.003321758471429348,0.003321752417832613,0.3254840075969696,0.3254840075969696,2.2415151596069336,0.003762033535167575,0.003762034699320793,0.3604993224143982,0.3604993224143982
19,1.9675158262252808,0.0032895756885409355,0.0032895805779844522,0.3227270543575287,0.3227270543575287,2.2923591136932373,0.003874715883284807,0.0038747116923332214,0.35500216484069824,0.35500216484069824
20,1.9505223035812378,0.0032598504330962896,0.0032598532270640135,0.32059499621391296,0.32059499621391296,2.1820263862609863,0.003654573578387499,0.0036545731127262115,0.3547400236129761,0.3547400236129761
21,1.9349249601364136,0.003233396913856268,0.003233398078009486,0.3182264268398285,0.3182264268398285,2.2201929092407227,0.0037305750884115696,0.003730574855580926,0.3549058139324188,0.3549058139324188
22,1.9286062717437744,0.003222289029508829,0.0032222906593233347,0.3174589276313782,0.3174589276313782,2.2035751342773438,0.0037009818479418755,0.0037009783554822206,0.35308629274368286,0.35308629274368286
23,1.911730408668518,0.0031938275787979364,0.0031938247848302126,0.31481629610061646,0.31481629610061646,2.2083802223205566,0.0037011366803199053,0.003701132256537676,0.3578156530857086,0.3578156530857086
